,no_window_mse,no_window_rmse,no_window_mae,window_mse,window_rmse,window_mae
1,6.93996404322459,2.6343811499524117,1.6167807820869684,6.93996404322459,2.6343811499524117,1.6167807820869684
2,6.9218115708450485,2.6309335930131432,1.6186117903962391,7.115747122928464,2.667535777253693,1.6780551360279508
3,7.224863676296555,2.6879106525880943,1.7282827649212396,7.172844546272172,2.6782166727642056,1.6989798956479485
4,6.920457060357611,2.6306761602975026,1.6221882170389703,7.347817595843216,2.7106858165127172,1.755541216060122
5,6.979042840362522,2.641787811381248,1.6465910418778655,7.398428827997972,2.720005299259171,1.7715872936639525
6,6.775746808904425,2.6030264710341355,1.586337104915672,6.944473113423065,2.635236823024273,1.6143224230813984
